record_id,entity_id,entity_name,sector,asset_id,severity,category,opened_at,closed_at,escalated,disposition,investigation_notes,closure_time_minutes
ALT-0000013,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Malware,2026-01-07T09:23:00,2026-01-07T11:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 001799),144.00
ALT-0000014,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Phishing,2026-01-07T10:23:00,2026-01-07T14:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 001079),264.00
ALT-0000015,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Phishing,2026-01-07T11:23:00,2026-01-07T15:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 002339),264.00
ALT-0000016,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Unauthorized Access,2026-01-07T12:23:00,2026-01-07T18:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 001619),384.00
ALT-0000017,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Data Exfiltration,2026-01-07T14:23:00,2026-01-07T15:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 002159),84.00
ALT-0000018,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Denial of Service,2026-01-07T15:23:00,2026-01-07T18:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 001439),204.00
ALT-0000019,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Denial of Service,2026-01-07T16:23:00,2026-01-07T19:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 002699),204.00
ALT-0000020,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Vulnerability Exploit,2026-01-07T17:23:00,2026-01-07T22:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 001979),324.00
ALT-0000021,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Policy Violation,2026-01-07T18:23:00,2026-01-08T01:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 001259),444.00
ALT-0000022,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Malware,2026-01-08T08:46:00,2026-01-08T13:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 001078),263.00
ALT-0000023,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Malware,2026-01-08T09:46:00,2026-01-08T14:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 002338),263.00
ALT-0000024,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Phishing,2026-01-08T10:46:00,2026-01-08T17:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 001618),383.00
ALT-0000025,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Unauthorized Access,2026-01-08T12:46:00,2026-01-08T14:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 002158),83.00
ALT-0000026,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Data Exfiltration,2026-01-08T13:46:00,2026-01-08T17:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 001438),203.00
ALT-0000027,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Data Exfiltration,2026-01-08T14:46:00,2026-01-08T18:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 002698),203.00
ALT-0000028,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Denial of Service,2026-01-08T15:46:00,2026-01-08T21:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 001978),323.00
ALT-0000029,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Vulnerability Exploit,2026-01-08T16:46:00,2026-01-09T00:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 001258),443.00
ALT-0000030,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Vulnerability Exploit,2026-01-08T17:46:00,2026-01-09T01:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 002518),443.00
ALT-0000031,CSE-001,Northern Grid Operator,Power,AST-001-11,HIGH,Policy Violation,2026-01-08T18:46:00,2026-01-08T21:09:00,false,FALSE_POSITIVE,Mailbox rule removed and the user re-enrolled in phishing awareness training. (case 001798),143.00
ALT-0000032,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Malware,2026-01-09T08:09:00,2026-01-09T14:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 001617),382.00
ALT-0000033,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Phishing,2026-01-09T10:09:00,2026-01-09T11:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 002157),82.00
ALT-0000034,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Unauthorized Access,2026-01-09T11:09:00,2026-01-09T14:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 001437),202.00
ALT-0000035,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Unauthorized Access,2026-01-09T12:09:00,2026-01-09T15:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 002697),202.00
ALT-0000036,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Data Exfiltration,2026-01-09T13:09:00,2026-01-09T18:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 001977),322.00
ALT-0000037,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Denial of Service,2026-01-09T14:09:00,2026-01-09T21:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 001257),442.00
ALT-0000038,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Denial of Service,2026-01-09T15:09:00,2026-01-09T22:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 002517),442.00
ALT-0000039,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Vulnerability Exploit,2026-01-09T16:09:00,2026-01-09T18:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 001797),142.00
ALT-0000040,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Policy Violation,2026-01-09T17:09:00,2026-01-09T21:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 001077),262.00
ALT-0000041,CSE-001,Northern Grid Operator,Power,AST-001-10,MEDIUM,Policy Violation,2026-01-09T18:09:00,2026-01-09T22:31:00,true,TRUE_POSITIVE,Verified against the threat intel feed. Indicator is a known false positive. (case 002337),262.00
ALT-0000042,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Malware,2026-01-10T08:32:00,2026-01-10T09:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 002156),81.00
ALT-0000043,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Phishing,2026-01-10T09:32:00,2026-01-10T12:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 001436),201.00
ALT-0000044,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Phishing,2026-01-10T10:32:00,2026-01-10T13:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 002696),201.00
ALT-0000045,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Unauthorized Access,2026-01-10T11:32:00,2026-01-10T16:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 001976),321.00
ALT-0000046,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Data Exfiltration,2026-01-10T12:32:00,2026-01-10T19:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 001256),441.00
ALT-0000047,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Data Exfiltration,2026-01-10T13:32:00,2026-01-10T20:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 002516),441.00
ALT-0000048,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Denial of Service,2026-01-10T14:32:00,2026-01-10T16:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 001796),141.00
ALT-0000049,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Vulnerability Exploit,2026-01-10T15:32:00,2026-01-10T19:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 001076),261.00
ALT-0000050,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Vulnerability Exploit,2026-01-10T16:32:00,2026-01-10T20:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 002336),261.00
ALT-0000051,CSE-001,Northern Grid Operator,Power,AST-001-01,MEDIUM,Policy Violation,2026-01-10T17:32:00,2026-01-10T23:53:00,false,BENIGN,Escalated to tier 2 after confirming lateral movement attempts from the host. (case 001616),381.00
ALT-0000052,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Malware,2026-01-11T08:55:00,2026-01-11T12:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 002695),200.00
ALT-0000053,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Phishing,2026-01-11T09:55:00,2026-01-11T15:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 001975),320.00
ALT-0000054,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Unauthorized Access,2026-01-11T10:55:00,2026-01-11T18:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 001255),440.00
ALT-0000055,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Unauthorized Access,2026-01-11T11:55:00,2026-01-11T19:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 002515),440.00
ALT-0000056,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Data Exfiltration,2026-01-11T12:55:00,2026-01-11T15:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 001795),140.00
ALT-0000057,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Denial of Service,2026-01-11T13:55:00,2026-01-11T18:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 001075),260.00
ALT-0000058,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Denial of Service,2026-01-11T14:55:00,2026-01-11T19:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 002335),260.00
ALT-0000059,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Vulnerability Exploit,2026-01-11T15:55:00,2026-01-11T22:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 001615),380.00
ALT-0000060,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Policy Violation,2026-01-11T17:55:00,2026-01-11T19:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 002155),80.00
ALT-0000061,CSE-001,Northern Grid Operator,Power,AST-001-08,LOW,Malware,2026-01-11T18:55:00,2026-01-11T22:15:00,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN. (case 001435),200.00
ALT-0000062,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Phishing,2026-01-12T08:18:00,2026-01-12T15:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 001254),439.00
ALT-0000063,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Phishing,2026-01-12T09:18:00,2026-01-12T16:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 002514),439.00
ALT-0000064,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Unauthorized Access,2026-01-12T10:18:00,2026-01-12T12:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 001794),139.00
ALT-0000065,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Data Exfiltration,2026-01-12T11:18:00,2026-01-12T15:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 001074),259.00
ALT-0000066,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Data Exfiltration,2026-01-12T12:18:00,2026-01-12T16:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 002334),259.00
ALT-0000067,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Denial of Service,2026-01-12T13:18:00,2026-01-12T19:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 001614),379.00
ALT-0000068,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Vulnerability Exploit,2026-01-12T15:18:00,2026-01-12T16:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 002154),79.00
ALT-0000069,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Policy Violation,2026-01-12T16:18:00,2026-01-12T19:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 001434),199.00
ALT-0000070,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Policy Violation,2026-01-12T17:18:00,2026-01-12T20:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 002694),199.00
ALT-0000071,CSE-001,Northern Grid Operator,Power,AST-001-07,LOW,Malware,2026-01-12T18:18:00,2026-01-12T23:37:00,true,TRUE_POSITIVE,Endpoint isolated and reimaged. Credentials rotated for the affected account. (case 001974),319.00
ALT-0000072,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Phishing,2026-01-13T08:41:00,2026-01-13T10:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 001793),138.00
ALT-0000073,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Unauthorized Access,2026-01-13T09:41:00,2026-01-13T13:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 001073),258.00
ALT-0000074,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Unauthorized Access,2026-01-13T10:41:00,2026-01-13T14:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 002333),258.00
ALT-0000075,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Data Exfiltration,2026-01-13T11:41:00,2026-01-13T17:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 001613),378.00
ALT-0000076,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Denial of Service,2026-01-13T13:41:00,2026-01-13T14:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 002153),78.00
ALT-0000077,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Vulnerability Exploit,2026-01-13T14:41:00,2026-01-13T17:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 001433),198.00
ALT-0000078,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Vulnerability Exploit,2026-01-13T15:41:00,2026-01-13T18:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 002693),198.00
ALT-0000079,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Policy Violation,2026-01-13T16:41:00,2026-01-13T21:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 001973),318.00
ALT-0000080,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Malware,2026-01-13T17:41:00,2026-01-14T00:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 001253),438.00
ALT-0000081,CSE-001,Northern Grid Operator,Power,AST-001-06,CRITICAL,Malware,2026-01-13T18:41:00,2026-01-14T01:59:00,true,BENIGN,Traced to a misconfigured monitoring agent. Ticket raised with platform team. (case 002513),438.00
ALT-0000082,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Phishing,2026-01-14T08:04:00,2026-01-14T12:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 002332),257.00
ALT-0000083,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Unauthorized Access,2026-01-14T09:04:00,2026-01-14T15:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 001612),377.00
ALT-0000084,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Data Exfiltration,2026-01-14T11:04:00,2026-01-14T12:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 002152),77.00
ALT-0000085,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Denial of Service,2026-01-14T12:04:00,2026-01-14T15:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 001432),197.00
ALT-0000086,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Denial of Service,2026-01-14T13:04:00,2026-01-14T16:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 002692),197.00
ALT-0000087,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Vulnerability Exploit,2026-01-14T14:04:00,2026-01-14T19:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 001972),317.00
ALT-0000088,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Policy Violation,2026-01-14T15:04:00,2026-01-14T22:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 001252),437.00
ALT-0000089,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Policy Violation,2026-01-14T16:04:00,2026-01-14T23:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 002512),437.00
ALT-0000090,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Malware,2026-01-14T17:04:00,2026-01-14T19:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 001792),137.00
ALT-0000091,CSE-001,Northern Grid Operator,Power,AST-001-01,HIGH,Phishing,2026-01-14T18:04:00,2026-01-14T22:21:00,false,FALSE_POSITIVE,Sandbox detonation returned no malicious behaviour. Sample retained for 30 days. (case 001072),257.00
ALT-0000092,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Unauthorized Access,2026-01-15T09:27:00,2026-01-15T10:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 002151),76.00
ALT-0000093,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Data Exfiltration,2026-01-15T10:27:00,2026-01-15T13:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 001431),196.00
ALT-0000094,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Data Exfiltration,2026-01-15T11:27:00,2026-01-15T14:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 002691),196.00
ALT-0000095,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Denial of Service,2026-01-15T12:27:00,2026-01-15T17:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 001971),316.00
ALT-0000096,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Vulnerability Exploit,2026-01-15T13:27:00,2026-01-15T20:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 001251),436.00
ALT-0000097,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Vulnerability Exploit,2026-01-15T14:27:00,2026-01-15T21:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 002511),436.00
ALT-0000098,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Policy Violation,2026-01-15T15:27:00,2026-01-15T17:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 001791),136.00
ALT-0000099,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Malware,2026-01-15T16:27:00,2026-01-15T20:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 001071),256.00
ALT-0000100,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Malware,2026-01-15T17:27:00,2026-01-15T21:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 002331),256.00
ALT-0000101,CSE-001,Northern Grid Operator,Power,AST-001-04,MEDIUM,Phishing,2026-01-15T18:27:00,2026-01-16T00:43:00,true,TRUE_POSITIVE,Contacted the asset owner; user confirmed the login from a new corporate device. (case 001611),376.00
ALT-0000102,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Unauthorized Access,2026-01-16T08:50:00,2026-01-16T12:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 001430),195.00
ALT-0000103,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Unauthorized Access,2026-01-16T09:50:00,2026-01-16T13:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 002690),195.00
ALT-0000104,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Data Exfiltration,2026-01-16T10:50:00,2026-01-16T16:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 001970),315.00
ALT-0000105,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Denial of Service,2026-01-16T11:50:00,2026-01-16T19:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 001250),435.00
ALT-0000106,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Denial of Service,2026-01-16T12:50:00,2026-01-16T20:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 002510),435.00
ALT-0000107,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Vulnerability Exploit,2026-01-16T13:50:00,2026-01-16T16:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 001790),135.00
ALT-0000108,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Policy Violation,2026-01-16T14:50:00,2026-01-16T19:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 001070),255.00
ALT-0000109,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Policy Violation,2026-01-16T15:50:00,2026-01-16T20:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 002330),255.00
ALT-0000110,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Malware,2026-01-16T16:50:00,2026-01-16T23:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 001610),375.00
ALT-0000111,CSE-001,Northern Grid Operator,Power,AST-001-03,MEDIUM,Phishing,2026-01-16T18:50:00,2026-01-16T20:05:00,false,BENIGN,Confirmed the binary hash against the allowlist. Signed vendor update. (case 002150),75.00
ALT-0000112,CSE-001,Northern Grid Operator,Power,AST-001-02,LOW,Unauthorized Access,2026-01-17T08:13:00,2026-01-17T13:27:00,false,FALSE_POSITIVE,Correlated with the change record raised the same morning. Approved maintenance. (case 001969),314.00
ALT-0000113,CSE-001,Northern Grid Operator,Power,AST-001-02,LOW,Data Exfiltration,2026-01-17T09:13:00,2026-01-17T16:27:00,false,FALSE_POSITIVE,Correlated with the change record raised the same morning. Approved maintenance. (case 001249),434.00
ALT-0000114,CSE-001,Northern Grid Operator,Power,AST-001-02,LOW,Data Exfiltration,2026-01-17T10:13:00,2026-01-17T17:27:00,false,FALSE_POSITIVE,Correlated with the change record raised the same morning. Approved maintenance. (case 002509),434.00
